id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
78400616;Data Scientist;Middle Data scientist;Казань;Ранкс;;python, математическая статистика, sql, pandas, машинное обучение;От 3 до 6 лет;2023-03-22;100000;150000;RUR
78381745;Data Scientist;Senior Data Scientist;Иннополис;Контур;;nlp, machine learning, python, data science;От 3 до 6 лет;2023-03-22;;;
78045027;Data Scientist;Аналитик данных (Data Scientist);Казань;DLS;;python, математическая статистика, sql, pandas, sklearn, numpy, ms sql, математическое моделирование, базы данных, теория вероятностей, машинное обучение, data science, алгоритмы, mongodb, ml, sklearn;От 3 до 6 лет;2023-03-14;;;
78937901;Data Scientist;Junior Data scientist (Аналитик);Нижний Новгород;Займиго МФК;;python, статистический анализ, прогнозирование, математическая статистика;Нет опыта;2023-04-05;60000;;RUR
78855362;Data Scientist;Аналитик данных / Data Analyst / Data Scientist;Нижний Новгород;DEERAY;;python, jupyter notebook, business intelligence systems, data analysis, анализ данных, аналитическое мышление, big data, ml, ms excel, etl, a/b тесты, mathematical statistics, sql, power query, работа в команде, data science, математическая статистика, регрессионный анализ, статистический анализ, git;От 3 до 6 лет;2023-04-03;80000;;RUR
78732741;Data Scientist;Data Scientist в рекомендательные системы;Нижний Новгород;СБЕР;;;От 1 года до 3 лет;2023-03-30;;;
78883017;Data Scientist;Senior Data Scientist;Нижний Новгород;Positive Technologies;;python, machine learning, web security, sklearn, pytorch, docker;От 3 до 6 лет;2023-04-04;;;
69631571;Data Scientist;Data Scientist;Нижний Новгород;СБЕР;;;От 1 года до 3 лет;2023-03-24;;;
78149683;Data Scientist;Data Scientist;Нижний Новгород;Моризо Диджитал;;python, sql, ms powerpoint, статистический анализ, ml, data science;От 3 до 6 лет;2023-03-16;;;
78146526;Data Scientist;Middle Data scientist / Аналитик (Нижний Новгород);Нижний Новгород;Займиго МФК;;python, статистический анализ, прогнозирование, математическая статистика;От 1 года до 3 лет;2023-03-16;100000;150000;RUR
78867877;Data Scientist;Data scientist / Python разработчик;Рязань;Пауэр Тех;;big data, data analysis, mathematical analysis, python, sql, английский язык, postgresql, mongodb;От 1 года до 3 лет;2023-04-07;;;
78007068;Data Scientist;Data scientist;Новосибирск;LC Group;;;От 1 года до 3 лет;2023-04-04;;;
77860633;Data Scientist;Data Scientist;Новосибирск;LC Group;;python, docker, machine learning;От 3 до 6 лет;2023-04-04;;;
77519035;Data Scientist;Data Scientist;Новосибирск;Финтех Айкью;;;От 1 года до 3 лет;2023-03-27;;;
78883014;Data Scientist;Senior Data Scientist;Новосибирск;Positive Technologies;;python, machine learning, web security, sklearn, pytorch, docker;От 3 до 6 лет;2023-04-04;;;
76815796;Data Scientist;Lead data scientist;Новосибирск;Дром;;машинное обучение, алгоритмы, computer vision, python;От 3 до 6 лет;2023-03-19;300000;350000;RUR
78125714;Data Scientist;Data scientist;Новосибирск;LIME RUSSIA;;;От 1 года до 3 лет;2023-03-16;;;
76916738;Data Scientist;Data Scientist (Middle+/Senior);Новосибирск;Центр финансовых технологий;;;От 1 года до 3 лет;2023-03-08;;;
78883019;Data Scientist;Senior Data Scientist;Томск;Positive Technologies;;python, machine learning, web security, sklearn, pytorch, docker;От 3 до 6 лет;2023-04-04;;;
76815797;Data Scientist;Lead data scientist;Томск;Дром;;машинное обучение, алгоритмы, computer vision, python;От 3 до 6 лет;2023-03-19;300000;350000;RUR
76916739;Data Scientist;Data Scientist (Middle+/Senior);Томск;Центр финансовых технологий;;;От 1 года до 3 лет;2023-03-08;;;
